MatchID,SeriesID,MatchType,MatchDate,EventName,EventStage,FieldUmpires_1,FieldUmpires_2,TVUmpire,winner_team,ResultDescription,PlayerOfMatch,Season,TeamType,Team1,Team2
1327281,3150302,T20,2022-09-11,Asia Cup,Final,AK Chaudhary,Masudur Rahman,Bismillah Shinwari,Sri Lanka,Sri Lanka won by  23 runs,342619,2022,international,Sri Lanka,Pakistan
1298150,4784326,T20,2022-10-23,ICC Men's T20 World Cup,,M Erasmus,RJ Tucker,RA Kettleborough,India,India won by  4 wickets,253802,2022/23,international,Pakistan,India
1298158,4784326,T20,2022-10-27,ICC Men's T20 World Cup,,CB Gaffaney,RA Kettleborough,M Erasmus,Zimbabwe,Zimbabwe won by  1 runs,299572,2022/23,international,Zimbabwe,Pakistan
1298163,4784326,T20,2022-10-30,ICC Men's T20 World Cup,,PR Reiffel,RK Illingworth,L Rusere,Pakistan,Pakistan won by  6 wickets,34538,2022/23,international,Netherlands,Pakistan
1298170,4784326,T20,2022-11-03,ICC Men's T20 World Cup,,CB Gaffaney,PR Reiffel,P Wilson,Pakistan,Pakistan won by  33 runs,34538,2022/23,international,Pakistan,South Africa
1298175,4784326,T20,2022-11-06,ICC Men's T20 World Cup,,AT Holdstock,JS Wilson,L Rusere,Pakistan,Pakistan won by  5 wickets,1072470,2022/23,international,Bangladesh,Pakistan
1298177,4784326,T20,2022-11-09,ICC Men's T20 World Cup,Semi Final,M Erasmus,RK Illingworth,RA Kettleborough,Pakistan,Pakistan won by  7 wickets,307774,2022/23,international,New Zealand,Pakistan
1298179,4784326,T20,2022-11-13,ICC Men's T20 World Cup,Final,HDPK Dharmasena,M Erasmus,CB Gaffaney,England,England won by  5 wickets,662973,2022/23,international,Pakistan,England
1327228,4366362,T20,2022-09-20,England tour of Pakistan,,Aleem Dar,Asif Yaqoob,Ahsan Raza,England,England won by  6 wickets,573170,2022,international,Pakistan,England
1327229,4366362,T20,2022-09-22,England tour of Pakistan,,Ahsan Raza,Rashid Riaz,Asif Yaqoob,Pakistan,Pakistan won by  10 wickets,348144,2022,international,England,Pakistan
1327230,4366362,T20,2022-09-23,England tour of Pakistan,,Aleem Dar,Faisal Afridi,Rashid Riaz,England,England won by  63 runs,911707,2022,international,England,Pakistan
1327231,4366362,T20,2022-09-25,England tour of Pakistan,,Asif Yaqoob,Faisal Afridi,Ahsan Raza,Pakistan,Pakistan won by  3 runs,1161606,2022,international,Pakistan,England
1327232,4366362,T20,2022-09-28,England tour of Pakistan,,Ahsan Raza,Aleem Dar,Asif Yaqoob,Pakistan,Pakistan won by  6 runs,307774,2022,international,Pakistan,England
1327233,4366362,T20,2022-09-30,England tour of Pakistan,,Aleem Dar,Rashid Riaz,Faisal Afridi,England,England won by  8 wickets,669365,2022,international,Pakistan,England
1327234,4366362,T20,2022-10-02,England tour of Pakistan,,Ahsan Raza,Asif Yaqoob,Rashid Riaz,England,England won by  67 runs,236489,2022,international,England,Pakistan
1311737,2274491,ODI,2022-08-16,Pakistan tour of Netherlands,,MA Gough,Rizwan Akram,N Bathi,Pakistan,Pakistan won by  16 runs,512191,2022,international,Pakistan,Netherlands
1311738,2274491,ODI,2022-08-18,Pakistan tour of Netherlands,,MA Gough,N Bathi,Rizwan Akram,Pakistan,Pakistan won by  7 wickets,41445,2022,international,Netherlands,Pakistan
1311739,2274491,ODI,2022-08-21,Pakistan tour of Netherlands,,MA Gough,Rizwan Akram,Adriaan van den Dries,Pakistan,Pakistan won by  9 runs,1158088,2022,international,Pakistan,Netherlands
1288310,4963639,Test,2022-03-04,Australia tour of Pakistan,,Ahsan Raza,Aleem Dar,Asif Yaqoob,,No Result,568276,2021/22,international,Pakistan,Australia
1288311,4963639,Test,2022-03-12,Australia tour of Pakistan,,Ahsan Raza,Aleem Dar,Rashid Riaz,,No Result,348144,2021/22,international,Australia,Pakistan
1288312,4963639,Test,2022-03-21,Australia tour of Pakistan,,Ahsan Raza,Aleem Dar,Asif Yaqoob,Australia,Australia won by  115 runs,489889,2021/22,international,Australia,Pakistan
1288313,4963639,ODI,2022-03-29,Australia tour of Pakistan,,Aleem Dar,Asif Yaqoob,Ahsan Raza,Australia,Australia won by  88 runs,530011,2021/22,international,Australia,Pakistan
1288314,4963639,ODI,2022-03-31,Australia tour of Pakistan,,Ahsan Raza,Aleem Dar,Asif Yaqoob,Pakistan,Pakistan won by  6 wickets,348144,2021/22,international,Australia,Pakistan
1288315,4963639,ODI,2022-04-02,Australia tour of Pakistan,,Aleem Dar,Rashid Riaz,Ahsan Raza,Pakistan,Pakistan won by  9 wickets,348144,2021/22,international,Australia,Pakistan
1288316,4963639,T20,2022-04-05,Australia tour of Pakistan,,Ahsan Raza,Aleem Dar,Asif Yaqoob,Australia,Australia won by  3 wickets,5334,2021/22,international,Pakistan,Australia
